map,mode,n,completion_n,completion_pct,collision_free_n,collision_free_pct,collision_events,speed_valid_n,mean_time_s,max_time_s,mean_static_clearance_m,min_static_clearance_m,mean_map_payload_mib_s,mean_fsm_cpu_pct,mean_algorithm_cpu_cores,mean_algorithm_cpu_core_s,mean_end_to_end_cpu_cores,mean_end_to_end_cpu_core_s,mean_algorithm_peak_pss_mib,mean_kept_pct,effective_full_open_total,trajectory_guard_open_total,slowdown_refresh_total,nearfield_no_hit_results,nearfield_occupied_results,nearfield_egress_results,nearfield_stale_results,nearfield_enforce_brakes,nearfield_worker_mean_ms,nearfield_worker_p95_ms,nearfield_worker_max_ms,retry_count,oom_kill_delta
seed4,sector,10,10,100,10,100,0,10,71.926,80.98,0.2544,0.221,1.272443,83.576848,0.862307,62.881895,1.048132,76.626361,3239.544043,48.9288,0,0,0,3561,1,0,31,1,3.339753,6.293,18.629,0,0
seed4,adaptive,10,10,100,10,100,0,10,77.189,86.7,0.2505,0.117,2.14207,82.023524,0.849421,66.9726,1.040892,82.148954,3255.50293,64.7477,100,53,481,3495,0,0,30,0,3.281747,6.172,18.557,0,0
seed5,full,10,10,100,10,100,0,10,76.953,84.62,0.2768,0.225,4.025769,89.745577,0.89755,70.568551,1.079417,84.959524,3228.525,,0,0,0,3219,0,0,0,0,3.63053,6.904,26.969,0,0
seed5,sector,10,10,100,10,100,0,10,71.5,84.98,0.2474,0.203,1.475755,85.27271,0.880042,64.103616,1.064924,77.776601,3250.203711,48.2529,0,0,0,3506,3,0,29,3,3.806254,7.582,27.317,0,0
seed5,adaptive,10,10,100,10,100,0,10,80.873,99.49,0.2578,0.16,2.398471,83.286066,0.862436,70.734906,1.048165,86.152234,3270.103613,64.5944,105,67,488,3358,0,0,20,0,3.767535,7.899,26.684,1,1
seed6,full,10,10,100,10,100,0,10,77.916,90.96,0.2601,0.223,4.726238,92.952571,0.929553,73.860616,1.111416,88.404372,3236.789355,,0,0,0,3503,0,0,0,0,4.091561,7.632,31.902,0,0
seed6,sector,10,10,100,10,100,0,10,73.921,85.08,0.2457,0.184,1.670088,87.188755,0.89991,67.722807,1.082391,81.592192,3260.561719,51.3115,0,0,0,3727,1,0,19,1,4.008536,7.536,60.55,0,0
seed6,adaptive,10,10,100,10,100,0,10,88.363,104.22,0.2659,0.177,2.509889,75.778249,0.787488,70.804893,0.973915,87.695489,3275.51875,67.0783,73,44,545,3207,0,0,55,0,3.678228,7.621,27.888,0,0
seed7,full,10,10,100,10,100,0,10,89.258,104.79,0.258,0.207,5.547907,84.214129,0.842218,75.602038,1.028433,92.6724,3264.987891,,0,0,0,3624,0,0,0,0,4.982753,9.716,22.312,0,0
seed7,sector,10,10,100,9,90,1,10,81.496,86.12,0.2076,-0.168,1.947353,78.411136,0.81372,67.990623,1.00069,83.624364,3277.85293,53.8435,0,0,0,3480,20,0,45,20,4.558009,8.738,59.074,0,0
seed7,adaptive,10,10,100,10,100,0,10,88.953,107.28,0.2523,0.127,3.078122,76.453734,0.795931,71.864673,0.986881,89.346253,3298.065918,68.975,84,53,556,3410,0,0,51,0,4.408234,8.305,15.41,0,0
seed8,full,10,10,100,10,100,0,10,82.859,95.86,0.2267,0.181,5.168391,85.779867,0.857766,72.416818,1.047271,88.542821,3254.768652,,0,0,0,3339,1,0,0,1,4.648745,8.875,36.048,0,0
seed8,sector,10,9,90,10,100,0,10,90.16,180,0.2384,0.038,1.98983,70.542639,0.735413,63.512903,0.925523,81.289109,3281.413379,53.9735,0,0,0,2916,21,0,38,21,4.125081,8.068,28.065,0,0
seed8,adaptive,10,10,100,10,100,0,10,85.033,99.39,0.2464,0.172,2.7948,75.308061,0.783839,67.479069,0.974082,84.141907,3273.592187,69.8381,69,46,530,2990,0,0,49,0,3.965924,8.161,16.79,0,0
seed9,full,10,10,100,10,100,0,10,91.946,105.41,0.2435,0.201,6.536611,86.427776,0.864275,80.550905,1.052387,98.251679,3275.451758,,0,0,0,3779,0,0,0,0,6.050166,11.345,38.632,0,0
seed9,sector,10,10,100,10,100,0,10,90.585,112.02,0.2303,0.089,2.239586,76.27233,0.793898,73.044383,0.988415,91.150029,3293.23457,55.6871,0,0,0,3739,19,0,71,19,5.0726,9.935,24.219,0,0
seed9,adaptive,10,10,100,10,100,0,10,98.837,112.91,0.2281,0.188,3.644313,75.136424,0.784398,78.890609,0.9784,98.509828,3321.633105,70.0068,73,52,603,3730,5,0,60,5,5.244837,9.907,26.437,0,0
seed10,full,10,10,100,10,100,0,10,96.396,118.55,0.2458,0.182,5.816663,82.624506,0.826276,80.573773,1.018445,99.571283,3274.932617,,0,0,0,3622,0,0,0,0,5.519205,10.644,33.994,0,0
seed10,sector,10,10,100,9,90,1,10,99.464,118.97,0.1708,-0.051,2.238716,73.605675,0.768141,76.850929,0.961629,96.548574,3287.864648,56.1057,0,0,0,3830,82,2,56,82,5.45953,10.85,24.787,0,0
seed10,adaptive,10,10,100,10,100,0,10,96.571,108.09,0.2485,0.211,3.574975,78.031049,0.813544,79.503817,1.005066,98.455567,3313.328125,68.3134,77,49,597,3693,1,0,44,1,5.582834,11.149,31.38,0,0
all,full,100,100,100,100,100,0,100,78.6399,118.55,0.2615,0.101,4.648127,92.875669,0.928887,73.338279,1.112388,88.208528,3236.775596,,0,0,0,36376,2,1,0,2,4.09124,8.511,38.632,0,0
all,sector,100,99,99,98,98,2,100,77.0605,180,0.24342,-0.168,1.587547,82.765253,0.855568,65.81689,1.041008,80.586004,3254.448447,50.10351,0,0,0,36310,147,2,366,147,3.831363,8.049,60.55,0,0
all,adaptive,100,100,100,100,100,0,100,81.7686,112.91,0.26172,0.117,2.52178,81.570647,0.84564,69.608078,1.032132,85.322968,3270.035752,65.21492,999,546,5101,35022,6,0,354,6,3.775928,8.173,31.38,1,1
